route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
00068,BGPREVOZ,68,Novi Beograd (Blok 70A) - Zeleni venac - Novi Beograd (Blok 70A),3,,0098da,ffffff,0,,
00072,BGPREVOZ,72,Zeleni Venac - Aerodrom Nikola Tesla,3,,0098DA,FFFFFF,0,,
00075,BGPREVOZ,75,Zeleni Venac - Bežanijska Kosa,3,,0098DA,FFFFFF,0,,
00704,BGPREVOZ,704,Zeleni Venac - Zemun Polje,3,,0098DA,FFFFFF,0,,
00706,BGPREVOZ,706,Zeleni Venac - Batajnica,3,,0098DA,FFFFFF,0,,
00707,BGPREVOZ,707,Zeleni Venac - Zemun Polje,3,,0098DA,FFFFFF,0,,
00033,BGPREVOZ,33,Pančevački most /Železnička stanica/ - Kumodraž,3,,0098DA,FFFFFF,0,,
20406,BGPREVOZ,406L,Voždovac - Zemljoradnička - Beli potok /Igralište/,3,,0098DA,FFFFFF,0,,
00409,BGPREVOZ,409,Voždovac - Jajinci - Ulica Ruža - Voždovac,3,,0098DA,FFFFFF,0,,
90004,BGPREVOZ,E9,Kumodraž - Studentski Trg,3,,00A859,FFFFFF,0,,
50033,BGPREVOZ,33N,Studentski Trg - Kumodraž,3,,3E4095,FFFFFF,0,,
11002,BGPREVOZ,2L,Pristanište - Trg Slavija - Gospodarska mehana,0,,ed3237,ffffff,0,,
30002,BGPREVOZ,2A,Dorcol SRC Milan Gale Muskatirovic - Beograd na vodi - Dorcol SRC Milan Gale Muskatirovic,3,,0098da,ffffff,0,,
10025,BGPREVOZ,25P,Mirijevo 4 - Kumodraž /Stepina kuća/,3,,0098DA,FFFFFF,0,,
00055,BGPREVOZ,55,Zvezdara - Stari Železnik,3,,0098DA,FFFFFF,0,,
00056,BGPREVOZ,56,Zeleni Venac - Petlovo brdo,3,,0098DA,FFFFFF,0,,
00089,BGPREVOZ,89,Vidikovac - Čukarička padina - Novi Beograd /Blok 72/,3,,0098da,ffffff,0,,
00401,BGPREVOZ,401,Slavija /Birčaninova/ - Pinosava,3,,0098DA,FFFFFF,0,,
01401,BGPREVOZ,401a,Trg Slavija /Birčaninova/ - Beli potok - Pinosava,3,,0098da,ffffff,0,,
00402,BGPREVOZ,402,Slavija /Birčaninova/ - Beli potok,3,,0098DA,FFFFFF,0,,
00404,BGPREVOZ,404,Bela reka - Trešnja /Okretnica/,3,,0098DA,FFFFFF,0,,
